type,choose,feature_nums,treenums,precision,recall,f1,MCC,TP,FP,TN,FN,AUC
test,maxrel,41,50,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7675438596491229,"
"
test,maxrel,41,51,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7723835450695705,"
"
test,maxrel,41,52,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7699637023593466,"
"
test,maxrel,41,53,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7687537810042347,"
"
test,maxrel,41,54,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7695099818511797,"
"
test,maxrel,41,55,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7701149425287356,"
"
test,maxrel,41,56,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7725347852389595,"
"
test,maxrel,41,57,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7707199032062916,"
"
test,maxrel,41,58,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7690562613430127,"
"
test,maxrel,41,59,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7689050211736237,"
"
test,maxrel,41,60,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7707199032062916,"
"
test,maxrel,41,61,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7704174228675136,"
"
test,maxrel,41,62,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7710223835450696,"
"
test,maxrel,41,63,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7705686630369026,"
"
test,maxrel,41,64,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7705686630369026,"
"
test,maxrel,41,65,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7679975801572898,"
"
test,maxrel,41,66,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.764821536600121,"
"
test,maxrel,41,67,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.765124016938899,"
"
test,maxrel,41,68,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.764519056261343,"
"
test,maxrel,41,69,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.764670296430732,"
"
test,maxrel,41,70,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.764519056261343,"
"
test,maxrel,41,71,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7683000604960678,"
"
test,maxrel,41,72,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.765728977616455,"
"
test,maxrel,41,73,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7633091349062311,"
"
test,maxrel,41,74,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7610405323653963,"
"
test,maxrel,41,75,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7605868118572293,"
"
test,maxrel,41,76,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7583182093163945,"
"
test,maxrel,41,77,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7619479733817301,"
"
test,maxrel,41,78,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7614942528735632,"
"
test,maxrel,41,79,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7613430127041743,"
"
test,maxrel,41,80,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7617967332123412,"
"
test,maxrel,41,81,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7610405323653963,"
"
test,maxrel,41,82,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7624016938898972,"
"
test,maxrel,41,83,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7630066545674531,"
"
